日付,顧客名,商品名,数量,単価,担当者
令和8年12月20日,オカモト印刷株式会社,印刷用紙Ａ４,31,450円,渡辺
,,,,,
2026/7/15,株式会社ニシムラ,コーヒー豆,24,1200,鈴木
,,,,,
2026/7/20,アオキ酒店,醤油,47,¥380,伊藤
令和8年1月10日,株式会社ニシムラ ,印刷用紙A4 ,50,450,田中
2026-12-01,はなまる工務店,ｺｰﾋｰ豆,27,"1,200円",鈴木
1/15,マツモト文具,軍手 ,16,180,山本
5/28, 北海道物産センター,せっちゃくざい,44,¥320,高橋
2026-09-01, オカモト印刷株式会社,コシヒカリ,３５,4200,渡辺
2026/7/1,アオキ酒店,紅茶,4,900円,佐藤
令和8年11月25日,株式会社さくら商事,だんぼーる箱,22,250円,田中
令和8年3月1日, たけだ薬局,木材(杉),30,"2,100円",伊藤
2026/9/10,たけだ薬局,しょうゆ,４６,３８０円,伊藤
2026/12/10,田中商店,国産牛肉,9,3200,鈴木
令和8年2月15日, こばやし青果,紅茶葉 ,10,900円,伊藤
12/1,株式会社フジタ製作所,文具セット,13,１５００円,山本
令和8年10月10日,田中商店,紅茶,９,900,田中
2026-02-28,株式会社ヤマグチ電機,牛肉(国産),26,3200,渡辺
2026/6/15,有限会社イシダ金物店,醤油 ,10,380円,渡辺
2026/5/10,田中商店,紅茶,9,９００円,高橋
7/28,アオキ酒店,しょうゆ,20,380,佐藤
5/1,マツモト文具,木材(杉),17,"2,100",中村
2026/5/1,アオキ酒店,手袋(軍手),27,180円,佐藤
3/5,こばやし青果,文房具セット,26,1500,渡辺
2026-08-20,株式会社フジタ製作所,段ボール箱 ,4,２５０円,渡辺
,,,,,
5/28,こばやし青果 ,コーヒー豆 ,25,1200,山本
6/25,サトウ精肉店,こうちゃ葉,37,900円,佐藤
令和8年9月1日,株式会社ヤマグチ電機 ,文房具セット,27,"1,500",中村
令和8年5月28日,スズキベーカリー ,文房具セット,21,"1,500円",高橋
5/28,北海道物産センター ,国産牛肉,２８,"3,200円",山本
2026-07-20,オカモト印刷株式会社,コシヒカリ,45,4200,鈴木
2026/3/20,有限会社みどり食品 ,手袋(軍手),48,180,伊藤
2026/5/15,株式会社さくら商事,食パン ,25,280,鈴木
2026/10/25, みなと運送,手袋(軍手),40,180,渡辺
2026-01-01,オカモト印刷株式会社,コシヒカリ,40,4200円,鈴木
2026-08-20,株式会社フジタ製作所,段ボール箱 ,4,２５０円,渡辺
2026/12/15,サトウ精肉店,米（コシヒカリ）,37,"4,200円",佐藤
8/1, みなと運送 ,米（コシヒカリ）,1,4200,鈴木
2026-11-20,オカモト印刷株式会社,米（コシヒカリ）,43,4200円,鈴木
2026/4/10,スズキベーカリー,印刷用紙(A4),21,450円,山本
